generated,dataset,match_type,exact_byte,exact_pixel,ahash_distance,dhash_distance,phash_distance,dataset_source,generated_source
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_001_rendered_connect_the_lines_000009.png,data/babyvision_data/images/c4c47ac5-48c8-47b2-a00d-09b199e5d81a.png,nearest,False,False,23,26,20,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_001_rendered_connect_the_lines_000009.png,data/babyvision_data/images/f63f93f6-51b2-4a72-9a96-c1ba5d06dc4b.jpg,nearest,False,False,26,28,20,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_001_rendered_connect_the_lines_000009.png,data/babyvision_data/images/29742a10-56e3-469f-959e-ea1b679f24e9.png,nearest,False,False,28,28,20,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_002_rendered_overlay_patterns_000012.png,data/babyvision_data/images/f63f93f6-51b2-4a72-9a96-c1ba5d06dc4b.jpg,nearest,False,False,22,33,18,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_002_rendered_overlay_patterns_000012.png,data/babyvision_data/images/119dd196-7088-40b6-b888-45bd420551f5.jpg,nearest,False,False,25,23,22,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_002_rendered_overlay_patterns_000012.png,data/babyvision_data/images/a10c4089-cddd-40cb-a25e-ed0db948b32b.jpg,nearest,False,False,19,26,22,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_003_rendered_find_the_same_000014.png,data/babyvision_data/images/81be3996-0374-4529-8979-b5468c6adc36.png,nearest,False,False,12,17,18,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_003_rendered_find_the_same_000014.png,data/babyvision_data/images/2c8e40ab-525c-4189-9eb5-4c5bd9b3099f.jpg,nearest,False,False,12,24,18,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_003_rendered_find_the_same_000014.png,data/babyvision_data/images/a450ddcb-8548-49ea-aee4-ff3bede26ef6.jpg,nearest,False,False,12,25,18,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases/mixed_004_rendered_connect_the_lines_000015.png,data/babyvision_data/images/732da25b-91ba-4f85-b172-a22b7b73f2a5.jpg,nearest,False,False,27,27,18,data/babyvision_data/images,synthetic_outputs/gemini_wrong_hard_cases_mixed_20260524T032756Z/hard_cases
